更新时间,#genre#
CCTV-6,http://106.116.3.60:8890/rtp/239.254.201.154:7207$河北电信组播源|1920x1080
CCTV-6,http://222.141.132.53:888/rtp/225.1.4.160:1196$河南联通组播源|1920x1080
CCTV-6,http://42.92.117.243:8888/rtp/239.255.29.14:8231$甘肃电信组播源|1920x1080
CCTV-6,http://222.70.23.103:6666/rtp/239.45.1.70:5140$上海电信组播源|1920x1080
CCTV-6,http://139.196.151.191:2051/rtp/239.45.1.70:5140$上海电信组播源
CCTV-6,http://120.55.49.231:3095/rtp/233.50.201.198:5140$浙江电信组播源
CCTV-6,http://183.141.216.3:9999/rtp/233.50.201.198:5140$浙江电信组播源|1920x1080
CCTV-6,http://120.55.49.231:3095/rtp/233.50.201.18:5140$浙江电信组播源
CCTV-6,http://183.141.216.3:9999/rtp/233.50.201.18:5140$浙江电信组播源|1920x1080
CCTV-6,http://125.80.154.251:8003/rtp/235.254.198.55:1496$重庆电信组播源|1920x1080
CCTV-6,http://125.80.154.251:8003/rtp/235.254.198.143:1852$重庆电信组播源|1920x1080
CCTV-6,http://122.4.30.168:8688/rtp/239.21.2.47:5002$山东电信组播源|1920x1080
CCTV-6,http://122.4.30.168:8688/rtp/239.21.1.6:5002$山东电信组播源|1920x1080
CCTV-7,http://123.129.70.178:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://219.159.194.66:8181/tsfile/live/faacts/0007_1.m3u8$订阅源|1920x1080
CCTV-7,http://183.223.157.33:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://39.98.201.151:9090/udp/225.1.8.7:8104$订阅源
CCTV-7,http://fangke.blueswords.com:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$订阅源
CCTV-7,http://123.166.61.70:8003/hls/42/index.m3u8$订阅源
CCTV-7,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$订阅源
CCTV-7,http://36.35.16.98:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-7,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225733/index.m3u8$订阅源
CCTV-7,http://221.205.129.229:9999/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-7,http://221.205.130.91:9999/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-7,http://221.205.129.74:9999/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-7,http://106.116.3.60:8890/rtp/239.254.200.159:6000$河北电信组播源|1920x1080
CCTV-7,http://222.141.132.53:888/rtp/225.1.4.76:1105$河南联通组播源|1920x1080
CCTV-7,http://222.141.132.53:888/rtp/225.1.4.7:1036$河南联通组播源|1920x1080
CCTV-7,http://42.92.117.243:8888/rtp/239.255.30.178:8231$甘肃电信组播源|1920x1080
CCTV-7,http://222.70.23.103:6666/rtp/239.45.3.56:5140$上海电信组播源|1920x1080
CCTV-7,http://139.196.151.191:2051/rtp/239.45.3.56:5140$上海电信组播源
CCTV-7,http://120.55.49.231:3095/rtp/233.50.201.120:5140$浙江电信组播源
CCTV-7,http://183.141.216.3:9999/rtp/233.50.201.120:5140$浙江电信组播源|1920x1080
CCTV-7,http://120.55.49.231:3095/rtp/233.50.201.7:5140$浙江电信组播源
CCTV-7,http://183.141.216.3:9999/rtp/233.50.201.7:5140$浙江电信组播源|1920x1080
CCTV-7,http://125.80.154.251:8003/rtp/235.254.198.56:1500$重庆电信组播源|1920x1080
CCTV-7,http://125.80.154.251:8003/rtp/235.254.198.4:1292$重庆电信组播源|1920x1080
CCTV-7,http://122.4.30.168:8688/rtp/239.21.1.152:5002$山东电信组播源|1920x1080
CCTV-7,http://122.4.30.168:8688/rtp/239.21.1.7:5002$山东电信组播源|1920x1080
CCTV-8,http://[2409:8087:74d9:21::6]/270000001128/9900000008/index.m3u8$订阅源
CCTV-8,http://58.216.229.130:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-8,http://116.117.105.198:8096/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://61.163.181.78:9901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221226008/2.m3u8$订阅源
CCTV-8,http://[2409:8087:74d9:21::6]:80/270000001128/9900000008/index.m3u8$订阅源
CCTV-8,http://124.128.73.58:9901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://113.57.20.158:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-8,http://36.35.16.98:9901/tsfile/live/0001_41.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-8,http://122.139.47.206:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-8,http://221.205.129.74:9999/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-8,http://221.205.130.91:9999/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-8,http://221.205.129.229:9999/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-8,http://106.116.3.60:8890/rtp/239.254.200.16:6000$河北电信组播源|1920x1080
CCTV-8,http://106.116.3.60:8890/rtp/239.254.201.155:7208$河北电信组播源|1920x1080
CCTV-8,http://222.141.132.53:888/rtp/225.1.4.161:1197$河南联通组播源|1920x1080
CCTV-8,http://42.92.117.243:8888/rtp/239.255.29.15:8231$甘肃电信组播源|1920x1080
CCTV-8,http://222.70.23.103:6666/rtp/239.45.1.71:5140$上海电信组播源|1920x1080
CCTV-8,http://139.196.151.191:2051/rtp/239.45.1.71:5140$上海电信组播源
CCTV-8,http://120.55.49.231:3095/rtp/233.50.201.199:5140$浙江电信组播源
CCTV-8,http://183.141.216.3:9999/rtp/233.50.201.199:5140$浙江电信组播源|1920x1080
CCTV-8,http://120.55.49.231:3095/rtp/233.50.201.19:5140$浙江电信组播源
CCTV-8,http://183.141.216.3:9999/rtp/233.50.201.19:5140$浙江电信组播源|1920x1080
CCTV-8,http://125.80.154.251:8003/rtp/235.254.198.57:1504$重庆电信组播源|1920x1080
CCTV-8,http://125.80.154.251:8003/rtp/235.254.198.144:1856$重庆电信组播源|1920x1080
CCTV-8,http://122.4.30.168:8688/rtp/239.21.2.48:5002$山东电信组播源|1920x1080
CCTV-8,http://122.4.30.168:8688/rtp/239.21.1.8:5002$山东电信组播源|1920x1080
CCTV-9,http://124.128.73.58:9901/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010052/1.m3u8$订阅源
CCTV-9,http://122.139.47.206:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-9,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8$订阅源
